Timestamp,Message,Message Type,Response,Response Type,Response Group,Response Accuracy,Accuracy Diagnosis,Fixed or Improved,Negative Sentiment,Notes
2/12/19 11:19AM,Im lonely,Freeform,Sometimes that happens. We can chat a bit if that will help you.,Small Talk,Small Talk,Full,,FALSE,TRUE,
2/12/19 12:13PM,Kill me,Freeform,"If you or another are in a life- or limb-threatening emergency, please call 911
Call now
If you are in a situation were you or another could be harmed, please contact:
Public Safety 
Wellness Exchange
Health Center
You can talk to counselor 24 hours a day through the Wellness Exchange App
iPhone
Android",Emergency,Emergency,Full,,FALSE,TRUE,Reached out to this user to confirm this was testing
2/12/19 12:14PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 12:14PM,日本語を知っている？,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No content,FALSE,FALSE,Do you know Japanese? according to Google Translate
2/12/19 12:29PM,Bus A,Freeform,Route A offers transportation between Washington Square and Tandon in Brooklyn.,Bus A,Public Safety,Full,,FALSE,FALSE,
2/12/19 12:39PM,✨ Get Involved,Button,For questions about how to get involved at NYU:,Get Involved Menu,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 12:42PM,Drop-In Hours,Button,Wasserman offers drop-in hours — no appointments needed!,Wasserman Drop-In Hours,Wasserman,Full,,FALSE,FALSE,
2/12/19 1:23PM,i need security,Freeform,"A Social Security Number (SSN) is a unique, 9-digit number used for taxpayer identification, income reporting, and record-keeping purposes",?SSN,Global Services,None,Vague,TRUE,TRUE,
2/12/19 1:24PM,security help,Freeform,"A Social Security Number (SSN) is a unique, 9-digit number used for taxpayer identification, income reporting, and record-keeping purposes",?SSN,Global Services,None,Vague,TRUE,TRUE,
2/12/19 1:24PM,public safety,Freeform,"The Department of Public Safety is committed to providing safety and security for the NYU community and property, enabling the pursuit of academic and professional goals.",Public Safety Welcome,Public Safety,Full,,FALSE,FALSE,
2/12/19 1:25PM,📬 Contact,Button,There are many ways to reach them:,PS Contact,Public Safety,Full,,FALSE,FALSE,
